Epoch,MSE
1,0.002111431539265646
2,0.001202810707812508
3,0.0016362008452415467
4,0.0010056310333311559
5,0.001042525068235894
6,0.0010687900272508461
7,0.0009679523224218024
8,0.0008495269348430965
9,0.0007203734003835254
10,0.0005963538788879911
11,0.0009047652863793903
12,0.0009016367601644661
13,0.0005455204166678919
14,0.0005206855691762434
15,0.0005542140992151367
16,0.0008781282081165247
17,0.0006714399678943057
18,0.0006455361004918814
19,0.0006290802887330452
20,0.0005340092768892646
